doi,title,year
10.1056/NEJM199801153380307,Protective and damaging effects of stress mediators,1998
,Why Zebras Don't Get Ulcers,2004
10.1002/wps.20311,Understanding the burnout experience: recent research and its implications for psychiatry,2016
,Maslach Burnout Inventory,1981
10.1001/jama.2018.12777,Prevalence of Burnout Among Physicians: A Systematic Review,2018
,Burn-out an occupational phenomenon ICD-11,2019
10.1016/S0140-6736(12)60994-5,Job strain as a risk factor for coronary heart disease a collaborative meta-analysis of individual participant data,2012
10.1016/S0140-6736(15)60295-1,Long working hours and risk of coronary heart disease and stroke a systematic review and meta-analysis,2015
10.1016/j.envint.2021.106595,Global regional and national burdens of ischemic heart disease and stroke attributable to exposure to long working hours,2021
10.1038/nrcardio.2012.45,Stress and cardiovascular disease,2012
10.2307/2392498,Job demands job decision latitude and mental strain,1979
10.1037/1076-8998.1.1.27,Adverse health effects of high-effort low-reward conditions,1996
10.1016/0140-6736(91)93068-K,Health inequalities among British civil servants the Whitehall II study,1991
10.1136/bmj.314.7080.558,Low job control and risk of coronary heart disease Whitehall II,1997
10.1037/0021-9010.86.3.499,The job demands-resources model of burnout,2001
10.1108/02683940710733115,The Job Demands-Resources model state of the art,2007
10.1037/ocp0000056,Job demands-resources theory taking stock and looking forward,2017
10.1023/A:1015630930326,The measurement of engagement and burnout,2002
10.1038/nrn2639,Effects of stress throughout the lifespan on the brain behaviour and cognition,2009
10.1038/nrn2648,Stress signalling pathways that impair prefrontal cortex structure and function,2009
10.1152/physrev.00041.2006,Physiology and neurobiology of stress and adaptation central role of the brain,2007
10.2307/2666999,Psychological Safety and Learning Behavior in Work Teams,1999
10.1126/science.1089134,Does Rejection Hurt An fMRI Study of Social Exclusion,2003
,SCARF a brain-based model for collaborating with and influencing others,2008
,Social Why Our Brains Are Wired to Connect,2013
10.3389/fnhum.2014.00114,Antagonistic neural networks underlying differentiated leadership roles,2014
10.1080/17470919.2013.808259,Visioning in the brain an fMRI study of inspirational coaching and mentoring,2013
10.1016/j.cub.2014.06.054,Empathy and compassion,2014
10.1037/0033-2909.125.6.627,A meta-analytic review of experiments examining the effects of extrinsic rewards on intrinsic motivation,1999
,Self-determination theory and the facilitation of intrinsic motivation,2000
10.1518/hfes.46.1.50_30392,Trust in Automation Designing for Appropriate Reliance,2004
10.1287/isre.1070.0165,The Consequences of Technostress for End Users,2008
10.1080/0960085X.2022.2154712,Integrating technostress research a meta-analysis,2022
10.1111/isj.12515,Techno-eustress creators conceptualization and validation,2024
10.1371/journal.pmed.1000316,Social Relationships and Mortality Risk A Meta-analytic Review,2010
,Loneliness Human Nature and the Need for Social Connection,2008
10.1007/s12160-010-9210-8,Loneliness Matters A Theoretical and Empirical Review,2010
10.1093/sleep/26.2.117,The cumulative cost of additional wakefulness dose-response effects,2003
10.1046/j.1365-2869.2003.00337.x,Patterns of performance degradation and restoration during sleep restriction,2003
10.1093/sleep/19.4.318,Effects of Sleep Deprivation on Performance A Meta-Analysis,1996
10.1016/j.cub.2007.08.007,The human emotional brain without sleep a prefrontal amygdala disconnect,2007
10.1016/j.neuron.2004.08.031,Sleep-Dependent Learning and Memory Consolidation,2004
10.1056/NEJMoa041406,Effect of Reducing Interns Work Hours on Serious Medical Errors in Intensive Care Units,2004
10.1056/NEJMoa041404,Effect of Reducing Interns Weekly Work Hours on Sleep and Attentional Failures,2004
10.3390/ijerph17176401,Insomnia Interventions in the Workplace A Systematic Review and Meta-Analysis,2020
10.1136/oemed-2021-107847,Neurocognitive Impairment in Night and Shift Workers A Meta-Analysis,2022
10.3390/healthcare10050954,Relation between Burnout and Sleep Problems in Nurses,2022
10.1016/j.smrv.2013.01.004,Sleep problems and work injuries a systematic review and meta-analysis,2014
10.1093/qje/qjae044,Generative AI at Work,2025
10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier,2026
10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023
10.3390/soc15010006,AI Tools in Society Impacts on Cognitive Offloading and the Future of Critical Thinking,2025
10.1145/3706598.3713778,The Impact of Generative AI on Critical Thinking,2025
10.48550/arXiv.2506.08872,Your Brain on ChatGPT Accumulation of Cognitive Debt,2025
10.48550/arXiv.2303.10130,GPTs are GPTs An Early Look at the Labor Market Impact Potential of Large Language Models,2023
10.1038/s41562-024-02024-1,When combinations of humans and AI are useful a systematic review and meta-analysis,2024
10.1287/mnsc.2021.00588,Friend or foe Teaming between artificial intelligence and workers with variation in experience,2023
,Co-Intelligence Living and Working with AI,2024
10.1177/1745691615600138,Does oxytocin increase trust in humans a critical review,2015
